policy,knob,mean_trust,mean_revenue
P0_never,0.0,0.0,0.0
P1_always,1.0,1.84,9.991045714285715
P2_random,0.0,0.0,0.0
P2_random,0.1,0.17745714285714284,0.9730639999999999
P2_random,0.2,0.3500857142857143,1.959730285714286
P2_random,0.3,0.530342857142857,2.922218285714286
P2_random,0.4,0.7153428571428572,3.9502868571428573
P2_random,0.5,0.8990857142857143,4.9404388571428575
P2_random,0.6,1.0886285714285715,5.933345142857143
P2_random,0.7,1.2756,6.923098285714286
P2_random,0.8,1.4544857142857142,7.920866285714287
P2_random,0.9,1.648914285714286,8.978192000000002
P2_random,1.0,1.8400000000000003,9.991045714285715
P3_static,5.0,1.0557142857142856,6.509205714285715
P3_static,4.0,1.3005714285714285,7.847834285714287
P3_static,3.0,1.7665714285714285,9.877148571428572
P3_static,2.0,1.8208571428571427,9.970268571428571
P3_static,1.0,1.84,9.991045714285715
P4_receptivity,0.0,1.84,9.991045714285715
P4_receptivity,0.1,1.8112857142857144,9.913274285714285
P4_receptivity,0.2,1.8112857142857144,9.913274285714285
P4_receptivity,0.3,1.7537142857142856,9.751857142857142
P4_receptivity,0.4,1.7022857142857142,9.565554285714285
P4_receptivity,0.5,1.7022857142857142,9.565554285714285
P4_receptivity,0.6,1.7022857142857142,9.565554285714285
P4_receptivity,0.7,1.6335714285714287,9.274148571428572
P4_receptivity,0.8,1.4989999999999999,8.677634285714285
P4_receptivity,0.9,0.002,0.00918857142857143
P4_receptivity,1.0,0.0,0.0
P5_value,0.0,1.84,9.991045714285715
P5_value,0.25,1.84,9.991045714285715
P5_value,0.5,1.84,9.991045714285715
P5_value,1.0,1.826,9.980657142857144
P5_value,1.5,1.7970000000000002,9.944617142857142
P5_value,2.0,1.7357142857142858,9.835942857142859
P5_value,3.0,1.293,8.710828571428571
P5_value,5.0,0.28314285714285714,4.448697142857143
P5_value,8.0,0.21971428571428572,4.096714285714286
P5_value,12.0,0.08257142857142857,2.860697142857143
P5_value,20.0,0.0068571428571428585,1.82548
P5_value,50.0,0.0,1.6463657142857144
P6_learned,0.0,1.84,9.991045714285715
P6_learned,0.05,1.84,9.991045714285715
P6_learned,0.1,1.8377142857142859,9.978794285714285
P6_learned,0.15,1.8377142857142859,9.978794285714285
P6_learned,0.2,1.8307142857142857,9.949697142857143
P6_learned,0.25,1.8134285714285716,9.879251428571429
P6_learned,0.3,1.7757142857142858,9.685582857142858
P6_learned,0.35,1.6920000000000002,9.342108571428572
P6_learned,0.4,1.5264285714285715,8.553102857142857
P6_learned,0.45,1.292857142857143,7.393668571428572
P6_learned,0.5,0.9747142857142856,5.8433600000000006
P6_learned,0.55,0.6551428571428571,4.1017028571428575
P6_learned,0.6,0.37699999999999995,2.5961428571428575
P6_learned,0.65,0.19071428571428573,1.424577142857143
P6_learned,0.7,0.09385714285714286,0.7178971428571429
P6_learned,0.75,0.03271428571428571,0.2882514285714286
P6_learned,0.8,0.012857142857142857,0.13738285714285714
P6_learned,0.85,0.002857142857142857,0.024502857142857146
P6_learned,0.9,0.002285714285714286,0.012251428571428573
P6_learned,0.95,0.0,0.0
P6_learned,1.0,0.0,0.0
ORACLE,0.02,0.0,1.6463657142857144
ORACLE,0.0714,0.0,1.6463657142857144
ORACLE,0.1228,0.010857142857142859,1.8704228571428572
ORACLE,0.1742,0.010857142857142859,1.8704228571428572
ORACLE,0.2255,0.09857142857142857,2.8406800000000003
ORACLE,0.2769,0.09871428571428573,2.8422114285714284
ORACLE,0.3283,0.13357142857142856,3.135525714285714
ORACLE,0.3797,0.13357142857142856,3.135525714285714
ORACLE,0.4311,0.18285714285714286,3.6595828571428575
ORACLE,0.4825,0.183,3.661114285714286
ORACLE,0.5338,0.1955714285714286,3.7543657142857145
ORACLE,0.5852,0.1955714285714286,3.7543657142857145
ORACLE,0.6366,0.49214285714285716,4.970537142857143
ORACLE,0.688,0.49371428571428577,4.975131428571428
ORACLE,0.7394,0.5161428571428571,5.118354285714286
ORACLE,0.7908,0.5162857142857142,5.118354285714286
ORACLE,0.8422,0.6188571428571429,5.515331428571429
ORACLE,0.8935,0.622,5.532977142857144
ORACLE,0.9449,0.6687142857142857,5.73104
ORACLE,0.9963,0.6692857142857143,5.73104
ORACLE,1.0477,0.7180000000000001,5.966114285714285
ORACLE,1.0991,0.7188571428571429,5.975371428571429
ORACLE,1.1505,0.7405714285714285,6.074948571428571
ORACLE,1.2018,0.973857142857143,6.945417142857143
ORACLE,1.2532,0.9847142857142857,6.970285714285714
ORACLE,1.3046,1.0042857142857142,7.045194285714286
ORACLE,1.356,1.0064285714285715,7.0543828571428575
ORACLE,1.4074,1.0867142857142855,7.322017142857144
ORACLE,1.4588,1.096142857142857,7.353902857142857
ORACLE,1.5102,1.1292857142857142,7.4813542857142865
ORACLE,1.5615,1.1325714285714286,7.493971428571429
ORACLE,1.6129,1.1722857142857144,7.644982857142858
ORACLE,1.6643,1.1725714285714286,7.650377142857143
ORACLE,1.7157,1.1894285714285715,7.735771428571429
ORACLE,1.7671,1.1894285714285715,7.735771428571429
ORACLE,1.8185,1.359,8.37389142857143
ORACLE,1.8698,1.373,8.418302857142859
ORACLE,1.9212,1.3857142857142857,8.449822857142857
ORACLE,1.9726,1.385857142857143,8.449822857142857
ORACLE,2.024,1.4375714285714285,8.628120000000001
